playing ...
opening file 'op87_07b.mid'...
0.0 track2 60 0;
56258.688 track1 72 1;
0.0 track2 57 1;
56408.688 track1 72 0;
56408.688 track1 77 1;
56558.688 track1 77 0;
56558.688 track1 72 1;
56708.688 track2 57 0;
56708.688 track2 65 1;
56858.688 track2 65 0;
56858.688 track2 60 1;
57008.688 track1 72 0;
57008.688 track1 69 1;
57158.688 track1 69 0;
57158.688 track1 72 1;
57308.688 track2 60 0;
57308.688 track2 65 1;
57458.688 track1 72 0;
0.0 track2 65 0;
57458.688 track1 69 1;
0.0 track2 60 1;
57608.688 track1 69 0;
57608.688 track1 77 1;
57758.688 track1 77 0;
57758.688 track1 72 1;
57908.688 track2 60 0;
57908.688 track2 57 1;
58058.688 track1 72 0;
0.0 track2 57 0;
58058.688 track1 69 1;
0.0 track2 53 1;
58208.688 track1 69 0;
58208.688 track1 60 1;
58358.688 track1 60 0;
58358.688 track1 65 1;
58508.688 track2 53 0;
58508.688 track2 57 1;
58658.688 track1 65 0;
0.0 track2 57 0;
58658.688 track1 69 1;
0.0 track2 60 1;
58808.688 track1 69 0;
58808.688 track1 77 1;
58958.688 track1 77 0;
58958.688 track1 72 1;
59108.688 track2 60 0;
59108.688 track2 65 1;
59258.688 track2 65 0;
59258.688 track2 60 1;
59408.688 track1 72 0;
59408.688 track1 69 1;
